P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,S_LOG_G,Atmospheric_Retention,Long_Term_Stability,ESI
HD 95872 b,1188.6842,13.0,4375.0,5.15,0.06,72.21950000000004,5312.0,0.7,0.84,9.5622825,91.437246,7.0336343,0.54104879,0.57770991,5.15927,4.841,5.459,5.1523202,0.021635586999991574,97.63337100000001,170.42340087890625,Jovian,K,0.5727960300000001,2.0434488,0.0,0.46621995,0.0,0.0,Cold,0.0,4.43,100.0,100.0,31.175142007222885
OGLE-2015-BLG-0966L b,21.0,4.86,1234.6222189292748,2.7,0.0057983738370239735,3299.9999999999995,4422.723583056,0.38,0.6261638973392815,2.0786985,4.3209877,0.88909211,0.18294076000000004,0.10287129999999989,2.7,2.7,2.7,2.7,192.58679029271843,859.0785279393886,969.7702135227817,Neptunian,Unknown,0.24898972226589322,1.1977180260555325,-1.8446744073709552e+19,0.33415322,0.0,0.0,Unknown,0.0,4.682424517957493,5.511846661972306,100.0,11.303149565875435
TOI-1470 b,7.319999999999993,2.18,2.5270929999969667,0.028500000000000192,0.30000000000000004,51.95029999999986,3709.0,0.47,0.47,1.8324296,3.3577982000000013,1.5402744,0.70654788,0.0004983478100000216,0.0297824999999996,0.01994999999999969,0.037049999999999805,0.028830516000000195,48.50534300000004,660.57708,746.01801,Superterran,M,0.037583739999999644,0.5234362099999998,0.0,0.29056815,0.0,0.0,Hot,0.0,4.77,6.316150234189961,53.081465548666316,22.29978223027874
V1298 Tau b,203.41018,10.27,24.13959999999497,0.16880000000000006,0.29,108.19899999999996,5050.0,1.1,1.34,4.4504212,19.806249,1.928554,0.18778519999999999,0.006829821800000024,0.17589803999999987,0.11984800000000018,0.21775199999999906,0.1706255099999998,35.02120500000001,609.64599,690.0606689453125,Jovian,K,0.9549925899999989,2.6385405,0.0,0.19692930999999997,0.0,0.0,Hot,0.0,4.25,16.583962459507116,12.549626170397843,16.34608110967125
HD 22946 d,26.569999999999993,2.607,47.424889999994775,0.29579999999999984,0.0057983738370239735,62.77920000000006,6169.0,1.1,1.12,3.1924585,10.191791000000002,3.9093944,1.4995759,0.008552958699999946,0.29579999999999984,0.29579999999999984,0.29579999999999984,0.29579999999999984,18.492841999999996,528.26352,593.9879150390625,Neptunian,F,1.61808,3.4345019,0.0,0.43020858,0.0,0.0,Hot,0.0,4.47,13.820447844397874,18.174925901006635,35.07321110786316
WASP-70 A b,187.512,13.047,3.713020299997879,0.048530000000000406,0.0,222.35500000000002,5763.0,1.11,1.22,3.7910473,14.372039999999998,1.1015588999999997,0.08443005599999998,0.002683475099999999,0.048530000000000406,0.048530000000000406,0.048530000000000406,0.048530000000000406,616.56578,1269.3885,1438.1822509765625,Jovian,G,1.4521116000000003,3.253597,0.0,0.53903848,0.0,0.0,Hot,0.0,4.31,6.778283723246985,3.342029634636924,5.7009984484849365
HAT-P-18 b,62.61000000000007,11.153,5.50802300000214,0.05590000000000028,0.084,161.39999999999998,4803.0,0.77,0.7499999999999999,2.3693324000000002,5.613736199999998,0.5033386699999998,0.045130338999999964,0.0022189295999999192,0.05609721500000031,0.051204399999999595,0.06059560000000008,0.05594941799999997,86.63911500000006,776.16119,875.3005981445312,Jovian,K,0.26977393999999943,1.4023737,0.0,0.49883704,0.0,0.0,Hot,0.0,4.57,6.960544801964609,18.980484178716583,8.015132246703956
HD 86226 c,7.25,2.16,3.9844199999934062,0.04900000000000038,0.075,45.68299999999999,5863.0,1.02,1.05,1.8320703,3.356481500000001,1.5539266,0.71941047,0.0008717039299999119,0.04913781299999975,0.04532499999999917,0.052674999999999805,0.049034516999999944,492.98391,1199.0817,1354.1743,Superterran,G,1.1803206,2.9333492,0.0,0.46439179,0.0,0.0,Hot,0.0,4.4,3.4789006956384525,3.8400583705817177,11.756847806941852
XO-4 b,451.3186,14.011,4.125079999997979,0.0552400000000004,0.0,272.655,6397.0,1.1,1.45,5.6755382,32.211734,2.2990317,0.16408763000000004,0.004105843899999906,0.0552400000000004,0.05523999999999951,0.0552400000000004,0.0552400000000004,1125.8814,1475.6144,1671.6016845703125,Jovian,F,3.4355794999999993,5.0045354,0.0,0.41788708,0.0,0.0,Hot,0.0,4.18,8.730692975740663,1.6078801261912412,5.91869825205188
HATS-6 b,101.38776999999999,11.187000000000001,3.325272500005667,0.03622999999999976,0.0,169.31799999999998,3724.0,0.57,0.57,3.0104815,9.062998999999998,0.8101366800000003,0.07241768800000004,0.0020380922000000634,0.03622999999999976,0.03622999999999976,0.03622999999999976,0.03622999999999976,60.515041,710.50239,803.7593383789062,Jovian,M,0.07943282300000121,0.7609633900000001,0.0,0.42033668,0.0,0.0,Hot,0.0,4.68,9.631288587539604,45.610867940573144,10.262491170741557
